pid,description,formula,unit
00,supported_pid
03,fuel_system_status
04,engine_load,"(A*100)/255",%
05,coolant_temperature,"A-40",°C
0A,fuel_pressure,"A*3",psi
0B,intake_manifold_pressure,"A",psi
0C,rpm,"((A*256)+B)/4",rpm
0D,speed,"A",kph
0F,intake_air_temperature,"A-40",°C
11,throttle_position,"(A*100)/255",%
1C,obd_standard
1F,engine_run_time,"(A*256)+B",sec
2F,fuel_level,"(A*100)/255",%
32,evap_system_vapor_pressure,"(256*A+B)"",Pa
33,barometric_pressure,"A",psi
42,control_module_voltage,"((256*A)+B)/1000",V
46,ambient_air_temperature,"A-40",°C
5C,oil_temperature,"A-40",°C
5E,engine_fuel_rate,"((256*A)+B)/20",L/h
